type,document_person,selfie_person,document,selfie,similarity,status
genuine,1,1,1.jpeg,1.jpeg,0.6126,valid
genuine,1,1,1.jpeg,2.jpeg,0.6797,valid
genuine,1,1,1.jpeg,3.jpeg,0.695,valid
genuine,1,1,1.jpeg,4.jpeg,0.6439,valid
genuine,2,2,1.jpeg,1.jpeg,0.7797,valid
genuine,2,2,1.jpeg,2.jpeg,0.8211,valid
genuine,2,2,1.jpeg,3.jpeg,0.8064,valid
genuine,2,2,1.jpeg,4.jpeg,0.796,valid
genuine,3,3,1.jpeg,1.jpeg,0.7134,valid
genuine,3,3,1.jpeg,2.jpeg,0.7475,valid
genuine,3,3,1.jpeg,3.jpeg,0.6334,valid
genuine,3,3,1.jpeg,4.jpeg,0.7555,valid
genuine,4,4,1.jpeg,1.jpeg,0.6976,valid
genuine,4,4,1.jpeg,2.jpeg,0.7179,valid
genuine,4,4,1.jpeg,3.jpeg,0.7464,valid
genuine,4,4,1.jpeg,4.jpeg,0.6307,valid
genuine,5,5,1.jpeg,1.jpeg,0.8077,valid
genuine,5,5,1.jpeg,2.jpeg,0.8182,valid
genuine,5,5,1.jpeg,3.jpeg,0.7809,valid
genuine,5,5,1.jpeg,4.jpeg,0.8219,valid
genuine,6,6,1.jpeg,1.jpeg,0.0,no_selfie_face
genuine,6,6,1.jpeg,2.jpeg,0.0,no_selfie_face
genuine,6,6,1.jpeg,3.jpeg,0.0,no_selfie_face
genuine,6,6,1.jpeg,4.jpeg,0.0,no_selfie_face
genuine,7,7,1.jpeg,1.jpeg,0.814,valid
genuine,7,7,1.jpeg,2.jpeg,0.7949,valid
genuine,7,7,1.jpeg,3.jpeg,0.8035,valid
genuine,7,7,1.jpeg,4.jpeg,0.829,valid
genuine,8,8,1.jpeg,1.jpeg,0.8458,valid
genuine,8,8,1.jpeg,2.jpeg,0.8244,valid
genuine,8,8,1.jpeg,3.jpeg,0.8884,valid
genuine,8,8,1.jpeg,4.jpeg,0.8315,valid
genuine,9,9,1.jpeg,1.jpeg,,invalid_selfie
genuine,9,9,1.jpeg,2.jpeg,,invalid_selfie
genuine,9,9,1.jpeg,3.jpeg,,invalid_selfie
genuine,9,9,1.jpeg,4.jpeg,,invalid_selfie
genuine,10,10,1.jpeg,1.jpeg,0.8309,valid
genuine,10,10,1.jpeg,2.jpeg,0.7212,valid
genuine,10,10,1.jpeg,3.jpeg,0.8231,valid
genuine,10,10,1.jpeg,4.jpeg,0.7201,valid
impostor,1,2,1.jpeg,1.jpeg,0.4257,valid
impostor,1,2,1.jpeg,2.jpeg,0.4719,valid
impostor,1,2,1.jpeg,3.jpeg,0.4598,valid
impostor,1,2,1.jpeg,4.jpeg,0.4575,valid
impostor,1,3,1.jpeg,1.jpeg,0.5764,valid
impostor,1,3,1.jpeg,2.jpeg,0.5661,valid
impostor,1,3,1.jpeg,3.jpeg,0.5686,valid
impostor,1,3,1.jpeg,4.jpeg,0.6176,valid
impostor,1,4,1.jpeg,1.jpeg,0.5392,valid
impostor,1,4,1.jpeg,2.jpeg,0.5539,valid
impostor,1,4,1.jpeg,3.jpeg,0.5499,valid
impostor,1,4,1.jpeg,4.jpeg,0.5927,valid
impostor,1,5,1.jpeg,1.jpeg,0.5086,valid
impostor,1,5,1.jpeg,2.jpeg,0.5007,valid
impostor,1,5,1.jpeg,3.jpeg,0.5528,valid
impostor,1,5,1.jpeg,4.jpeg,0.49,valid
impostor,1,6,1.jpeg,1.jpeg,0.0,no_selfie_face
impostor,1,6,1.jpeg,2.jpeg,0.0,no_selfie_face
impostor,1,6,1.jpeg,3.jpeg,0.0,no_selfie_face
impostor,1,6,1.jpeg,4.jpeg,0.0,no_selfie_face
impostor,1,7,1.jpeg,1.jpeg,0.603,valid
impostor,1,7,1.jpeg,2.jpeg,0.5577,valid
impostor,1,7,1.jpeg,3.jpeg,0.5583,valid
impostor,1,7,1.jpeg,4.jpeg,0.5609,valid
impostor,1,8,1.jpeg,1.jpeg,0.5689,valid
impostor,1,8,1.jpeg,2.jpeg,0.5872,valid
impostor,1,8,1.jpeg,3.jpeg,0.5638,valid
impostor,1,8,1.jpeg,4.jpeg,0.5823,valid
impostor,1,9,1.jpeg,1.jpeg,,invalid_selfie
impostor,1,9,1.jpeg,2.jpeg,,invalid_selfie
impostor,1,9,1.jpeg,3.jpeg,,invalid_selfie
impostor,1,9,1.jpeg,4.jpeg,,invalid_selfie
impostor,1,10,1.jpeg,1.jpeg,0.4822,valid
impostor,1,10,1.jpeg,2.jpeg,0.5092,valid
impostor,1,10,1.jpeg,3.jpeg,0.48,valid
impostor,1,10,1.jpeg,4.jpeg,0.4841,valid
impostor,2,1,1.jpeg,1.jpeg,0.4852,valid
impostor,2,1,1.jpeg,2.jpeg,0.4997,valid
impostor,2,1,1.jpeg,3.jpeg,0.4439,valid
impostor,2,1,1.jpeg,4.jpeg,0.4815,valid
impostor,2,3,1.jpeg,1.jpeg,0.5669,valid
impostor,2,3,1.jpeg,2.jpeg,0.5958,valid
impostor,2,3,1.jpeg,3.jpeg,0.5066,valid
impostor,2,3,1.jpeg,4.jpeg,0.5744,valid
impostor,2,4,1.jpeg,1.jpeg,0.4917,valid
impostor,2,4,1.jpeg,2.jpeg,0.5032,valid
impostor,2,4,1.jpeg,3.jpeg,0.5079,valid
impostor,2,4,1.jpeg,4.jpeg,0.4959,valid
impostor,2,5,1.jpeg,1.jpeg,0.5526,valid
impostor,2,5,1.jpeg,2.jpeg,0.5431,valid
impostor,2,5,1.jpeg,3.jpeg,0.5035,valid
impostor,2,5,1.jpeg,4.jpeg,0.5168,valid
impostor,2,6,1.jpeg,1.jpeg,0.0,no_selfie_face
impostor,2,6,1.jpeg,2.jpeg,0.0,no_selfie_face
impostor,2,6,1.jpeg,3.jpeg,0.0,no_selfie_face
impostor,2,6,1.jpeg,4.jpeg,0.0,no_selfie_face
impostor,2,7,1.jpeg,1.jpeg,0.5315,valid
impostor,2,7,1.jpeg,2.jpeg,0.5483,valid
impostor,2,7,1.jpeg,3.jpeg,0.4895,valid
impostor,2,7,1.jpeg,4.jpeg,0.5092,valid
impostor,2,8,1.jpeg,1.jpeg,0.5374,valid
impostor,2,8,1.jpeg,2.jpeg,0.5183,valid
impostor,2,8,1.jpeg,3.jpeg,0.5286,valid
impostor,2,8,1.jpeg,4.jpeg,0.4926,valid
impostor,2,9,1.jpeg,1.jpeg,,invalid_selfie
impostor,2,9,1.jpeg,2.jpeg,,invalid_selfie
impostor,2,9,1.jpeg,3.jpeg,,invalid_selfie
impostor,2,9,1.jpeg,4.jpeg,,invalid_selfie
impostor,2,10,1.jpeg,1.jpeg,0.541,valid
impostor,2,10,1.jpeg,2.jpeg,0.5736,valid
impostor,2,10,1.jpeg,3.jpeg,0.5596,valid
impostor,2,10,1.jpeg,4.jpeg,0.5208,valid
impostor,3,1,1.jpeg,1.jpeg,0.6453,valid
impostor,3,1,1.jpeg,2.jpeg,0.5351,valid
impostor,3,1,1.jpeg,3.jpeg,0.5627,valid
impostor,3,1,1.jpeg,4.jpeg,0.6168,valid
impostor,3,2,1.jpeg,1.jpeg,0.544,valid
impostor,3,2,1.jpeg,2.jpeg,0.5216,valid
impostor,3,2,1.jpeg,3.jpeg,0.5344,valid
impostor,3,2,1.jpeg,4.jpeg,0.4837,valid
impostor,3,4,1.jpeg,1.jpeg,0.4961,valid
impostor,3,4,1.jpeg,2.jpeg,0.5062,valid
impostor,3,4,1.jpeg,3.jpeg,0.5019,valid
impostor,3,4,1.jpeg,4.jpeg,0.525,valid
impostor,3,5,1.jpeg,1.jpeg,0.605,valid
impostor,3,5,1.jpeg,2.jpeg,0.5632,valid
impostor,3,5,1.jpeg,3.jpeg,0.5452,valid
impostor,3,5,1.jpeg,4.jpeg,0.5402,valid
impostor,3,6,1.jpeg,1.jpeg,0.0,no_selfie_face
impostor,3,6,1.jpeg,2.jpeg,0.0,no_selfie_face
impostor,3,6,1.jpeg,3.jpeg,0.0,no_selfie_face
impostor,3,6,1.jpeg,4.jpeg,0.0,no_selfie_face
impostor,3,7,1.jpeg,1.jpeg,0.5583,valid
impostor,3,7,1.jpeg,2.jpeg,0.5825,valid
impostor,3,7,1.jpeg,3.jpeg,0.5449,valid
impostor,3,7,1.jpeg,4.jpeg,0.5442,valid
impostor,3,8,1.jpeg,1.jpeg,0.5457,valid
impostor,3,8,1.jpeg,2.jpeg,0.5119,valid
impostor,3,8,1.jpeg,3.jpeg,0.5436,valid
impostor,3,8,1.jpeg,4.jpeg,0.5246,valid
impostor,3,9,1.jpeg,1.jpeg,,invalid_selfie
impostor,3,9,1.jpeg,2.jpeg,,invalid_selfie
impostor,3,9,1.jpeg,3.jpeg,,invalid_selfie
impostor,3,9,1.jpeg,4.jpeg,,invalid_selfie
impostor,3,10,1.jpeg,1.jpeg,0.5008,valid
impostor,3,10,1.jpeg,2.jpeg,0.4674,valid
impostor,3,10,1.jpeg,3.jpeg,0.5428,valid
impostor,3,10,1.jpeg,4.jpeg,0.5087,valid
impostor,4,1,1.jpeg,1.jpeg,0.5624,valid
impostor,4,1,1.jpeg,2.jpeg,0.5166,valid
